ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
base+structural,31415,0.9544738725841088,0.8553764410154219,0.9750920341505444,0.9629486386138614,0.9875456132000635,0.8181862963361022,0.7189650389855906,,,0.6488269794721407,0.35117302052785926,0.012454386799936538,0.9517537580529707
base+structural+typology,42,0.9533285612025769,0.8519609994262709,0.9744614179396788,0.9624729186010523,0.9867523401554815,0.8155902463240751,0.7118444242889986,,,0.6444281524926686,0.3555718475073314,0.013247659844518483,0.9519685039370078
base+structural+typology,123,0.9519685039370078,0.8491754194486698,0.9736893698780535,0.9627045049236257,0.984927812152943,0.8161442579826299,0.7048016621308534,,,0.6473607038123167,0.3526392961876833,0.015072187847056957,0.9526127415891196
base+structural+typology,777,0.9525411596277737,0.8486095395942566,0.9740458015267176,0.961511708787387,0.9869109947643979,0.8109041777341051,0.7059479818330252,,,0.6348973607038123,0.3651026392961877,0.013089005235602094,0.9528274874731567
base+structural+typology,2023,0.9526127415891196,0.8469237130845604,0.974118382985378,0.9603761948812828,0.9882595589401872,0.8057133571827035,0.7046468354200474,,,0.6231671554252199,0.37683284457478006,0.011740441059812787,0.9533285612025769
base+structural+typology,31415,0.9528274874731567,0.8506521637739966,0.9741821743388834,0.9623809892406533,0.9862763763287323,0.8149856954957444,0.7089259218904828,,,0.6436950146627566,0.3563049853372434,0.01372362367126765,0.9525411596277737
base+typology,42,0.9560486757337151,0.8615249315113784,0.9759328943242396,0.964590113125678,0.9875456132000635,0.8262508124651344,0.7301478147091509,,,0.6649560117302052,0.3350439882697947,0.012454386799936538,0.9503221188260559
base+typology,123,0.9503221188260559,0.8430143915645483,0.9728056426332289,0.9612048939135821,0.9846898302395685,0.8086938887268224,0.69325261084323,,,0.6326979472140762,0.36730205278592376,0.01531016976043154,0.9528990694345025
base+typology,777,0.9544738725841088,0.8563491127291127,0.9750744630819878,0.9635941130906274,0.9868316674599397,0.8211284437006443,0.719927151602059,,,0.655425219941349,0.34457478005865105,0.01316833254006029,0.9582677165354331
base+typology,2023,0.9528990694345025,0.8477316097056757,0.9742767787333855,0.9604593802990596,0.9884975408535618,0.8061989170543469,0.7064198051344032,,,0.623900293255132,0.37609970674486803,0.011502459146438203,0.9560486757337151
base+typology,31415,0.9582677165354331,0.8693434816803167,0.9771327711315945,0.9664054620218792,0.9881009043312708,0.8353261119896823,0.7450248296503101,,,0.6825513196480938,0.31744868035190615,0.011899095668729176,0.9544738725841088
