ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
base+structural,123,0.9493769978472177,0.6928354373374483,0.9735496625536847,0.957813547954393,0.9898114776822845,0.6458491350675574,0.4207784434396452,,,0.3018867924528302,0.6981132075471698,0.010188522317715554,0.9515950159827777
base+structural,777,0.9508774218800965,0.6955450952352579,0.9743589743589743,0.9576946248075507,0.9916135292486831,0.6450853439806123,0.4334369528878352,,,0.2985571587125416,0.7014428412874584,0.008386470751316884,0.949964120294866
base+structural,2023,0.9515950159827777,0.7075628591920776,0.9747033956088913,0.9591384863123994,0.9907818131411145,0.6574330819312676,0.45107168836913397,,,0.32408435072142067,0.6759156492785794,0.0092181868588855,0.9519211951203601
base+structural,31415,0.949964120294866,0.7107994878124738,0.973794799959001,0.9602452664914763,0.9877321874133629,0.6664521092449722,0.4460086352525578,,,0.34517203107658156,0.6548279689234184,0.012267812586637094,0.9508774218800965
base+structural+typology,42,0.9531606758431731,0.7145542446997273,0.9755316248636859,0.9595736122284795,0.9920293873024674,0.6613865027522325,0.4688797268054347,,,0.33074361820199777,0.6692563817980022,0.007970612697532575,0.950942657707613
base+structural+typology,123,0.950942657707613,0.708652219846433,0.9743414767299031,0.9595430107526882,0.9896035486553922,0.6607285223854098,0.4483981106725957,,,0.3318534961154273,0.6681465038845728,0.010396451344607708,0.9502902994324482
base+structural+typology,777,0.9502902994324482,0.7124875820764441,0.9739665186197471,0.9603826977496295,0.987940116440255,0.6676659516718478,0.4497069941632783,,,0.34739178690344064,0.6526082130965594,0.01205988355974494,0.9513340726727119
base+structural+typology,2023,0.9502902994324482,0.7144466218218195,0.9739576213260424,0.96069309600863,0.9875935680621015,0.6702673722663449,0.45221903492229215,,,0.35294117647058826,0.6470588235294118,0.01240643193789853,0.9531606758431731
base+structural+typology,31415,0.9513340726727119,0.7219571277323514,0.9744974702584439,0.9614813815434431,0.9878708067646244,0.6770652590981834,0.46665983700920377,,,0.3662597114317425,0.6337402885682575,0.012129193235375658,0.9502902994324482
base+typology,42,0.952182138430426,0.7049422816502949,0.9750349102551003,0.9585481818790598,0.9920986969780982,0.6525421342826118,0.45233912224972833,,,0.3129855715871254,0.6870144284128746,0.007901303021901857,0.9498988844673495
base+typology,123,0.9498988844673495,0.7061879690691392,0.9737794469102082,0.9595612972682008,0.9884252841696701,0.6606943290992635,0.43984427137083687,,,0.33296337402885684,0.6670366259711432,0.011574715830329914,0.9502902994324482
base+typology,777,0.9513340726727119,0.7068306506856339,0.9745635570103656,0.9591275167785235,0.9905045744385916,0.6572944625800061,0.4486287603894148,,,0.32408435072142067,0.6759156492785794,0.009495425561408373,0.9506164785700306
base+typology,2023,0.9502902994324482,0.7001122971257687,0.9740197749744289,0.9585290565024829,0.9900194067091767,0.6520574281048658,0.43467722065671194,,,0.31409544950055496,0.6859045504994451,0.0099805932908234,0.952182138430426
base+typology,31415,0.9506164785700306,0.7065076719793577,0.9741717561158688,0.9593441300987837,0.9894649293041309,0.6589943958396348,0.44404011802421645,,,0.32852386237513875,0.6714761376248612,0.010535070695869144,0.9513340726727119
