Model-Split,Ablation,Type,Time,Count
GAT-Randomsplit,base+basic_temporal,FP,4,159
GAT-Randomsplit,base+basic_temporal,FP,5,12
GAT-Randomsplit,base+basic_temporal,FP,6,172
GAT-Randomsplit,base+basic_temporal,FP,7,5
GAT-Randomsplit,base+basic_temporal,FP,8,23
GAT-Randomsplit,base+basic_temporal,FP,9,16
GAT-Randomsplit,base+basic_temporal,FP,10,22
GAT-Randomsplit,base+basic_temporal,FP,11,57
GAT-Randomsplit,base+basic_temporal,FP,12,3
GAT-Randomsplit,base+basic_temporal,FP,13,10
GAT-Randomsplit,base+basic_temporal,FP,14,89
GAT-Randomsplit,base+basic_temporal,FP,15,1
GAT-Randomsplit,base+basic_temporal,FP,16,2
GAT-Randomsplit,base+basic_temporal,FP,17,2
GAT-Randomsplit,base+basic_temporal,FP,18,2
GAT-Randomsplit,base+basic_temporal,FP,19,2
GAT-Randomsplit,base+basic_temporal,FP,20,14
GAT-Randomsplit,base+basic_temporal,FP,21,5
GAT-Randomsplit,base+basic_temporal,FP,22,4
GAT-Randomsplit,base+basic_temporal,FP,23,2
GAT-Randomsplit,base+basic_temporal,FP,24,5
GAT-Randomsplit,base+basic_temporal,FP,25,1
GAT-Randomsplit,base+basic_temporal,FP,26,6
GAT-Randomsplit,base+basic_temporal,FP,27,2
GAT-Randomsplit,base+basic_temporal,FP,29,16
GAT-Randomsplit,base+basic_temporal,FP,30,1
GAT-Randomsplit,base+basic_temporal,FP,31,6
GAT-Randomsplit,base+basic_temporal,FP,32,3
GAT-Randomsplit,base+basic_temporal,FP,33,5
GAT-Randomsplit,base+basic_temporal,FP,34,12
GAT-Randomsplit,base+basic_temporal,FP,35,10
GAT-Randomsplit,base+basic_temporal,FP,36,46
GAT-Randomsplit,base+basic_temporal,FP,37,15
GAT-Randomsplit,base+basic_temporal,FP,38,25
GAT-Randomsplit,base+basic_temporal,FP,39,22
GAT-Randomsplit,base+basic_temporal,FP,40,41
GAT-Randomsplit,base+basic_temporal,FP,41,725
GAT-Randomsplit,base+basic_temporal,FP,42,32
GAT-Randomsplit,base+basic_temporal,FP,43,21
GAT-Randomsplit,base+basic_temporal,FP,44,6
GAT-Randomsplit,base+basic_temporal,FP,45,7
GAT-Randomsplit,base+basic_temporal,FP,46,43
GAT-Randomsplit,base+basic_temporal,FP,47,16
GAT-Randomsplit,base+basic_temporal,FP,48,330
GAT-Randomsplit,base+basic_temporal+typology,FN,1,38
GAT-Randomsplit,base+basic_temporal+typology,FN,2,1
GAT-Randomsplit,base+basic_temporal+typology,FN,3,2
GAT-Randomsplit,base+basic_temporal+typology,FN,4,48
GAT-Randomsplit,base+basic_temporal+typology,FN,5,5
GAT-Randomsplit,base+basic_temporal+typology,FN,6,39
GAT-Randomsplit,base+basic_temporal+typology,FN,7,1
GAT-Randomsplit,base+basic_temporal+typology,FN,8,6
GAT-Randomsplit,base+basic_temporal+typology,FN,9,4
GAT-Randomsplit,base+basic_temporal+typology,FN,10,3
GAT-Randomsplit,base+basic_temporal+typology,FN,11,20
GAT-Randomsplit,base+basic_temporal+typology,FN,13,2
GAT-Randomsplit,base+basic_temporal+typology,FN,14,26
GAT-Randomsplit,base+basic_temporal+typology,FN,19,1
GAT-Randomsplit,base+basic_temporal+typology,FN,20,1
GAT-Randomsplit,base+basic_temporal+typology,FN,21,5
GAT-Randomsplit,base+basic_temporal+typology,FN,24,1
GAT-Randomsplit,base+basic_temporal+typology,FN,25,2
GAT-Randomsplit,base+basic_temporal+typology,FN,26,1
GAT-Randomsplit,base+basic_temporal+typology,FN,29,5
GAT-Randomsplit,base+basic_temporal+typology,FN,31,3
GAT-Randomsplit,base+basic_temporal+typology,FN,32,1
GAT-Randomsplit,base+basic_temporal+typology,FN,33,3
GAT-Randomsplit,base+basic_temporal+typology,FN,34,4
GAT-Randomsplit,base+basic_temporal+typology,FN,35,2
GAT-Randomsplit,base+basic_temporal+typology,FN,36,13
GAT-Randomsplit,base+basic_temporal+typology,FN,37,2
GAT-Randomsplit,base+basic_temporal+typology,FN,38,9
GAT-Randomsplit,base+basic_temporal+typology,FN,39,4
GAT-Randomsplit,base+basic_temporal+typology,FN,40,12
GAT-Randomsplit,base+basic_temporal+typology,FN,41,218
GAT-Randomsplit,base+basic_temporal+typology,FN,42,10
GAT-Randomsplit,base+basic_temporal+typology,FN,43,2
GAT-Randomsplit,base+basic_temporal+typology,FN,44,4
GAT-Randomsplit,base+basic_temporal+typology,FN,45,2
GAT-Randomsplit,base+basic_temporal+typology,FN,46,11
GAT-Randomsplit,base+basic_temporal+typology,FN,47,3
GAT-Randomsplit,base+basic_temporal+typology,FN,48,106
GAT-Randomsplit,base+basic_temporal+typology,FN,49,1
GAT-Randomsplit,base+basic_temporal+typology,FP,1,119
GAT-Randomsplit,base+basic_temporal+typology,FP,2,2
GAT-Randomsplit,base+basic_temporal+typology,FP,3,5
GAT-Randomsplit,base+basic_temporal+typology,FP,4,158
GAT-Randomsplit,base+basic_temporal+typology,FP,5,11
GAT-Randomsplit,base+basic_temporal+typology,FP,6,144
GAT-Randomsplit,base+basic_temporal+typology,FP,7,7
GAT-Randomsplit,base+basic_temporal+typology,FP,8,22
GAT-Randomsplit,base+basic_temporal+typology,FP,9,14
GAT-Randomsplit,base+basic_temporal+typology,FP,10,17
GAT-Randomsplit,base+basic_temporal+typology,FP,11,53
GAT-Randomsplit,base+basic_temporal+typology,FP,12,2
GAT-Randomsplit,base+basic_temporal+typology,FP,13,9
GAT-Randomsplit,base+basic_temporal+typology,FP,14,78
GAT-Randomsplit,base+basic_temporal+typology,FP,15,1
GAT-Randomsplit,base+basic_temporal+typology,FP,17,2
GAT-Randomsplit,base+basic_temporal+typology,FP,18,2
GAT-Randomsplit,base+basic_temporal+typology,FP,19,2
GAT-Randomsplit,base+basic_temporal+typology,FP,20,16
GAT-Randomsplit,base+basic_temporal+typology,FP,21,3
GAT-Randomsplit,base+basic_temporal+typology,FP,22,5
GAT-Randomsplit,base+basic_temporal+typology,FP,23,2
GAT-Randomsplit,base+basic_temporal+typology,FP,24,5
GAT-Randomsplit,base+basic_temporal+typology,FP,25,3
GAT-Randomsplit,base+basic_temporal+typology,FP,26,6
GAT-Randomsplit,base+basic_temporal+typology,FP,27,2
GAT-Randomsplit,base+basic_temporal+typology,FP,29,15
GAT-Randomsplit,base+basic_temporal+typology,FP,30,1
GAT-Randomsplit,base+basic_temporal+typology,FP,31,5
GAT-Randomsplit,base+basic_temporal+typology,FP,32,3
GAT-Randomsplit,base+basic_temporal+typology,FP,33,7
GAT-Randomsplit,base+basic_temporal+typology,FP,34,11
GAT-Randomsplit,base+basic_temporal+typology,FP,35,8
GAT-Randomsplit,base+basic_temporal+typology,FP,36,44
GAT-Randomsplit,base+basic_temporal+typology,FP,37,13
GAT-Randomsplit,base+basic_temporal+typology,FP,38,20
GAT-Randomsplit,base+basic_temporal+typology,FP,39,18
GAT-Randomsplit,base+basic_temporal+typology,FP,40,29
GAT-Randomsplit,base+basic_temporal+typology,FP,41,687
GAT-Randomsplit,base+basic_temporal+typology,FP,42,29
GAT-Randomsplit,base+basic_temporal+typology,FP,43,16
GAT-Randomsplit,base+basic_temporal+typology,FP,44,6
GAT-Randomsplit,base+basic_temporal+typology,FP,45,7
GAT-Randomsplit,base+basic_temporal+typology,FP,46,42
GAT-Randomsplit,base+basic_temporal+typology,FP,47,14
GAT-Randomsplit,base+basic_temporal+typology,FP,48,305
GAT-Randomsplit,base+basic_temporal+typology,FP,49,1
GAT-Randomsplit,base+structural,FN,1,51
GAT-Randomsplit,base+structural,FN,2,2
GAT-Randomsplit,base+structural,FN,3,1
GAT-Randomsplit,base+structural,FN,4,54
GAT-Randomsplit,base+structural,FN,5,3
GAT-Randomsplit,base+structural,FN,6,55
GAT-Randomsplit,base+structural,FN,8,8
GAT-Randomsplit,base+structural,FN,9,4
GAT-Randomsplit,base+structural,FN,10,3
GAT-Randomsplit,base+structural,FN,11,22
GAT-Randomsplit,base+structural,FN,13,1
GAT-Randomsplit,base+structural,FN,14,32
GAT-Randomsplit,base+structural,FN,20,4
GAT-Randomsplit,base+structural,FN,21,5
GAT-Randomsplit,base+structural,FN,25,3
GAT-Randomsplit,base+structural,FN,26,1
GAT-Randomsplit,base+structural,FN,29,5
GAT-Randomsplit,base+structural,FN,31,3
GAT-Randomsplit,base+structural,FN,32,2
GAT-Randomsplit,base+structural,FN,33,2
GAT-Randomsplit,base+structural,FN,34,5
GAT-Randomsplit,base+structural,FN,35,4
GAT-Randomsplit,base+structural,FN,36,14
GAT-Randomsplit,base+structural,FN,37,1
GAT-Randomsplit,base+structural,FN,38,7
GAT-Randomsplit,base+structural,FN,39,5
GAT-Randomsplit,base+structural,FN,40,12
GAT-Randomsplit,base+structural,FN,41,241
GAT-Randomsplit,base+structural,FN,42,11
GAT-Randomsplit,base+structural,FN,43,4
GAT-Randomsplit,base+structural,FN,44,1
GAT-Randomsplit,base+structural,FN,45,1
GAT-Randomsplit,base+structural,FN,46,14
GAT-Randomsplit,base+structural,FN,47,3
GAT-Randomsplit,base+structural,FN,48,105
GAT-Randomsplit,base+structural,FP,1,114
GAT-Randomsplit,base+structural,FP,2,3
GAT-Randomsplit,base+structural,FP,3,3
GAT-Randomsplit,base+structural,FP,4,133
GAT-Randomsplit,base+structural,FP,5,8
GAT-Randomsplit,base+structural,FP,6,134
GAT-Randomsplit,base+structural,FP,7,5
GAT-Randomsplit,base+structural,FP,8,23
GAT-Randomsplit,base+structural,FP,9,10
GAT-Randomsplit,base+structural,FP,10,16
GAT-Randomsplit,base+structural,FP,11,49
GAT-Randomsplit,base+structural,FP,12,2
GAT-Randomsplit,base+structural,FP,13,7
GAT-Randomsplit,base+structural,FP,14,70
GAT-Randomsplit,base+structural,FP,15,1
GAT-Randomsplit,base+structural,FP,17,2
GAT-Randomsplit,base+structural,FP,18,2
GAT-Randomsplit,base+structural,FP,19,1
GAT-Randomsplit,base+structural,FP,20,11
GAT-Randomsplit,base+structural,FP,21,3
GAT-Randomsplit,base+structural,FP,22,4
GAT-Randomsplit,base+structural,FP,23,2
GAT-Randomsplit,base+structural,FP,24,4
GAT-Randomsplit,base+structural,FP,25,2
GAT-Randomsplit,base+structural,FP,26,4
GAT-Randomsplit,base+structural,FP,29,12
GAT-Randomsplit,base+structural,FP,30,1
GAT-Randomsplit,base+structural,FP,31,5
