Model-Split,Ablation,Type,Time,Count
GAT-Randomsplit,no_features,FP,19,2
GAT-Randomsplit,no_features,FP,20,16
GAT-Randomsplit,no_features,FP,21,3
GAT-Randomsplit,no_features,FP,22,5
GAT-Randomsplit,no_features,FP,23,3
GAT-Randomsplit,no_features,FP,24,8
GAT-Randomsplit,no_features,FP,25,3
GAT-Randomsplit,no_features,FP,26,7
GAT-Randomsplit,no_features,FP,27,3
GAT-Randomsplit,no_features,FP,28,1
GAT-Randomsplit,no_features,FP,29,19
GAT-Randomsplit,no_features,FP,30,1
GAT-Randomsplit,no_features,FP,31,6
GAT-Randomsplit,no_features,FP,32,4
GAT-Randomsplit,no_features,FP,33,7
GAT-Randomsplit,no_features,FP,34,15
GAT-Randomsplit,no_features,FP,35,15
GAT-Randomsplit,no_features,FP,36,56
GAT-Randomsplit,no_features,FP,37,16
GAT-Randomsplit,no_features,FP,38,35
GAT-Randomsplit,no_features,FP,39,22
GAT-Randomsplit,no_features,FP,40,51
GAT-Randomsplit,no_features,FP,41,918
GAT-Randomsplit,no_features,FP,42,36
GAT-Randomsplit,no_features,FP,43,21
GAT-Randomsplit,no_features,FP,44,7
GAT-Randomsplit,no_features,FP,45,9
GAT-Randomsplit,no_features,FP,46,58
GAT-Randomsplit,no_features,FP,47,19
GAT-Randomsplit,no_features,FP,48,436
GAT-Randomsplit,no_features,FP,49,1
GAT-Temporal,all,FN,1,54
GAT-Temporal,all,FN,3,10
GAT-Temporal,all,FN,4,70
GAT-Temporal,all,FN,5,9
GAT-Temporal,all,FN,6,100
GAT-Temporal,all,FN,8,6
GAT-Temporal,all,FN,9,1
GAT-Temporal,all,FN,10,2
GAT-Temporal,all,FN,11,21
GAT-Temporal,all,FN,14,68
GAT-Temporal,all,FN,15,1
GAT-Temporal,all,FN,19,5
GAT-Temporal,all,FN,20,7
GAT-Temporal,all,FN,21,6
GAT-Temporal,all,FN,22,5
GAT-Temporal,all,FN,24,6
GAT-Temporal,all,FN,27,3
GAT-Temporal,all,FN,28,1
GAT-Temporal,all,FN,29,14
GAT-Temporal,all,FN,31,7
GAT-Temporal,all,FN,32,10
GAT-Temporal,all,FN,35,11
GAT-Temporal,all,FN,36,15
GAT-Temporal,all,FN,37,5
GAT-Temporal,all,FN,38,7
GAT-Temporal,all,FN,39,25
GAT-Temporal,all,FN,40,16
GAT-Temporal,all,FN,41,236
GAT-Temporal,all,FN,42,6
GAT-Temporal,all,FN,43,4
GAT-Temporal,all,FN,44,13
GAT-Temporal,all,FN,46,21
GAT-Temporal,all,FN,48,196
GAT-Temporal,all,FP,1,57
GAT-Temporal,all,FP,2,1
GAT-Temporal,all,FP,4,74
GAT-Temporal,all,FP,5,6
GAT-Temporal,all,FP,6,311
GAT-Temporal,all,FP,8,18
GAT-Temporal,all,FP,9,15
GAT-Temporal,all,FP,10,24
GAT-Temporal,all,FP,11,64
GAT-Temporal,all,FP,13,8
GAT-Temporal,all,FP,14,288
GAT-Temporal,all,FP,15,4
GAT-Temporal,all,FP,17,5
GAT-Temporal,all,FP,21,1
GAT-Temporal,all,FP,24,5
GAT-Temporal,all,FP,29,5
GAT-Temporal,all,FP,32,3
GAT-Temporal,all,FP,33,1
GAT-Temporal,all,FP,34,9
GAT-Temporal,all,FP,36,21
GAT-Temporal,all,FP,37,5
GAT-Temporal,all,FP,38,5
GAT-Temporal,all,FP,39,5
GAT-Temporal,all,FP,40,27
GAT-Temporal,all,FP,41,804
GAT-Temporal,all,FP,42,16
GAT-Temporal,all,FP,43,15
GAT-Temporal,all,FP,45,5
GAT-Temporal,all,FP,46,28
GAT-Temporal,all,FP,47,9
GAT-Temporal,all,FP,48,516
GAT-Temporal,base+basic_temporal,FN,1,356
GAT-Temporal,base+basic_temporal,FN,2,8
GAT-Temporal,base+basic_temporal,FN,3,18
GAT-Temporal,base+basic_temporal,FN,4,463
GAT-Temporal,base+basic_temporal,FN,5,25
GAT-Temporal,base+basic_temporal,FN,6,470
GAT-Temporal,base+basic_temporal,FN,7,1
GAT-Temporal,base+basic_temporal,FN,8,54
GAT-Temporal,base+basic_temporal,FN,9,20
GAT-Temporal,base+basic_temporal,FN,10,46
GAT-Temporal,base+basic_temporal,FN,11,152
GAT-Temporal,base+basic_temporal,FN,12,4
GAT-Temporal,base+basic_temporal,FN,13,18
GAT-Temporal,base+basic_temporal,FN,14,451
GAT-Temporal,base+basic_temporal,FN,15,6
GAT-Temporal,base+basic_temporal,FN,16,1
GAT-Temporal,base+basic_temporal,FN,19,8
GAT-Temporal,base+basic_temporal,FN,20,53
GAT-Temporal,base+basic_temporal,FN,21,16
GAT-Temporal,base+basic_temporal,FN,22,8
GAT-Temporal,base+basic_temporal,FN,23,5
GAT-Temporal,base+basic_temporal,FN,24,17
GAT-Temporal,base+basic_temporal,FN,25,12
GAT-Temporal,base+basic_temporal,FN,26,7
GAT-Temporal,base+basic_temporal,FN,27,1
GAT-Temporal,base+basic_temporal,FN,28,7
GAT-Temporal,base+basic_temporal,FN,29,36
GAT-Temporal,base+basic_temporal,FN,30,3
GAT-Temporal,base+basic_temporal,FN,31,11
GAT-Temporal,base+basic_temporal,FN,32,23
GAT-Temporal,base+basic_temporal,FN,33,25
GAT-Temporal,base+basic_temporal,FN,34,9
GAT-Temporal,base+basic_temporal,FN,35,26
GAT-Temporal,base+basic_temporal,FN,36,109
GAT-Temporal,base+basic_temporal,FN,37,40
GAT-Temporal,base+basic_temporal,FN,38,48
GAT-Temporal,base+basic_temporal,FN,39,42
GAT-Temporal,base+basic_temporal,FN,40,76
GAT-Temporal,base+basic_temporal,FN,41,1248
GAT-Temporal,base+basic_temporal,FN,42,84
GAT-Temporal,base+basic_temporal,FN,43,52
GAT-Temporal,base+basic_temporal,FN,44,30
GAT-Temporal,base+basic_temporal,FN,45,13
GAT-Temporal,base+basic_temporal,FN,46,141
GAT-Temporal,base+basic_temporal,FN,47,37
GAT-Temporal,base+basic_temporal,FN,48,917
GAT-Temporal,base+basic_temporal,FN,49,7
GAT-Temporal,base+basic_temporal,FP,1,81
GAT-Temporal,base+basic_temporal,FP,2,4
GAT-Temporal,base+basic_temporal,FP,4,72
GAT-Temporal,base+basic_temporal,FP,5,8
GAT-Temporal,base+basic_temporal,FP,6,309
GAT-Temporal,base+basic_temporal,FP,8,20
GAT-Temporal,base+basic_temporal,FP,9,13
GAT-Temporal,base+basic_temporal,FP,10,22
GAT-Temporal,base+basic_temporal,FP,11,73
GAT-Temporal,base+basic_temporal,FP,13,7
GAT-Temporal,base+basic_temporal,FP,14,287
GAT-Temporal,base+basic_temporal,FP,15,4
GAT-Temporal,base+basic_temporal,FP,17,6
GAT-Temporal,base+basic_temporal,FP,24,4
GAT-Temporal,base+basic_temporal,FP,29,5
GAT-Temporal,base+basic_temporal,FP,32,4
GAT-Temporal,base+basic_temporal,FP,33,3
GAT-Temporal,base+basic_temporal,FP,34,9
GAT-Temporal,base+basic_temporal,FP,36,18
GAT-Temporal,base+basic_temporal,FP,37,4
GAT-Temporal,base+basic_temporal,FP,38,3
GAT-Temporal,base+basic_temporal,FP,39,5
GAT-Temporal,base+basic_temporal,FP,40,22
GAT-Temporal,base+basic_temporal,FP,41,759
GAT-Temporal,base+basic_temporal,FP,42,20
GAT-Temporal,base+basic_temporal,FP,43,10
GAT-Temporal,base+basic_temporal,FP,45,5
GAT-Temporal,base+basic_temporal,FP,46,30
GAT-Temporal,base+basic_temporal,FP,47,9
GAT-Temporal,base+basic_temporal,FP,48,550
GAT-Temporal,base+basic_temporal+typology,FN,1,59
GAT-Temporal,base+basic_temporal+typology,FN,3,10
GAT-Temporal,base+basic_temporal+typology,FN,4,77
GAT-Temporal,base+basic_temporal+typology,FN,5,10
GAT-Temporal,base+basic_temporal+typology,FN,6,80
GAT-Temporal,base+basic_temporal+typology,FN,7,1
GAT-Temporal,base+basic_temporal+typology,FN,8,6
GAT-Temporal,base+basic_temporal+typology,FN,10,2
GAT-Temporal,base+basic_temporal+typology,FN,11,16
GAT-Temporal,base+basic_temporal+typology,FN,14,70
GAT-Temporal,base+basic_temporal+typology,FN,17,1
GAT-Temporal,base+basic_temporal+typology,FN,19,5
GAT-Temporal,base+basic_temporal+typology,FN,20,6
GAT-Temporal,base+basic_temporal+typology,FN,21,5
GAT-Temporal,base+basic_temporal+typology,FN,22,4
GAT-Temporal,base+basic_temporal+typology,FN,24,7
GAT-Temporal,base+basic_temporal+typology,FN,27,3
GAT-Temporal,base+basic_temporal+typology,FN,28,2
GAT-Temporal,base+basic_temporal+typology,FN,29,10
GAT-Temporal,base+basic_temporal+typology,FN,31,5
GAT-Temporal,base+basic_temporal+typology,FN,32,9
GAT-Temporal,base+basic_temporal+typology,FN,35,7
GAT-Temporal,base+basic_temporal+typology,FN,36,16
GAT-Temporal,base+basic_temporal+typology,FN,37,7
GAT-Temporal,base+basic_temporal+typology,FN,38,4
GAT-Temporal,base+basic_temporal+typology,FN,39,22
GAT-Temporal,base+basic_temporal+typology,FN,40,13
GAT-Temporal,base+basic_temporal+typology,FN,41,195
GAT-Temporal,base+basic_temporal+typology,FN,42,12
GAT-Temporal,base+basic_temporal+typology,FN,43,7
GAT-Temporal,base+basic_temporal+typology,FN,44,13
GAT-Temporal,base+basic_temporal+typology,FN,46,22
GAT-Temporal,base+basic_temporal+typology,FN,48,189
GAT-Temporal,base+basic_temporal+typology,FP,1,58
GAT-Temporal,base+basic_temporal+typology,FP,4,78
GAT-Temporal,base+basic_temporal+typology,FP,5,7
GAT-Temporal,base+basic_temporal+typology,FP,6,310
GAT-Temporal,base+basic_temporal+typology,FP,8,18
GAT-Temporal,base+basic_temporal+typology,FP,9,15
GAT-Temporal,base+basic_temporal+typology,FP,10,24
GAT-Temporal,base+basic_temporal+typology,FP,11,67
GAT-Temporal,base+basic_temporal+typology,FP,13,9
GAT-Temporal,base+basic_temporal+typology,FP,14,293
GAT-Temporal,base+basic_temporal+typology,FP,15,5
GAT-Temporal,base+basic_temporal+typology,FP,17,7
GAT-Temporal,base+basic_temporal+typology,FP,21,2
GAT-Temporal,base+basic_temporal+typology,FP,24,5
GAT-Temporal,base+basic_temporal+typology,FP,29,5
GAT-Temporal,base+basic_temporal+typology,FP,32,2
GAT-Temporal,base+basic_temporal+typology,FP,34,6
GAT-Temporal,base+basic_temporal+typology,FP,36,23
GAT-Temporal,base+basic_temporal+typology,FP,37,5
GAT-Temporal,base+basic_temporal+typology,FP,38,5
GAT-Temporal,base+basic_temporal+typology,FP,39,5
GAT-Temporal,base+basic_temporal+typology,FP,40,28
GAT-Temporal,base+basic_temporal+typology,FP,41,842
GAT-Temporal,base+basic_temporal+typology,FP,42,16
GAT-Temporal,base+basic_temporal+typology,FP,43,14
GAT-Temporal,base+basic_temporal+typology,FP,45,5
GAT-Temporal,base+basic_temporal+typology,FP,46,30
GAT-Temporal,base+basic_temporal+typology,FP,47,9
GAT-Temporal,base+basic_temporal+typology,FP,48,522
GAT-Temporal,base+structural,FN,1,65
GAT-Temporal,base+structural,FN,3,10
GAT-Temporal,base+structural,FN,4,99
GAT-Temporal,base+structural,FN,5,5
GAT-Temporal,base+structural,FN,6,107
GAT-Temporal,base+structural,FN,8,11
GAT-Temporal,base+structural,FN,10,3
GAT-Temporal,base+structural,FN,11,28
GAT-Temporal,base+structural,FN,12,1
GAT-Temporal,base+structural,FN,13,3
GAT-Temporal,base+structural,FN,14,103
GAT-Temporal,base+structural,FN,15,3
GAT-Temporal,base+structural,FN,19,2
GAT-Temporal,base+structural,FN,20,12
GAT-Temporal,base+structural,FN,21,5
GAT-Temporal,base+structural,FN,22,5
GAT-Temporal,base+structural,FN,23,1
GAT-Temporal,base+structural,FN,24,8
GAT-Temporal,base+structural,FN,25,2
GAT-Temporal,base+structural,FN,27,4
GAT-Temporal,base+structural,FN,28,3
GAT-Temporal,base+structural,FN,29,17
GAT-Temporal,base+structural,FN,31,6
GAT-Temporal,base+structural,FN,32,14
GAT-Temporal,base+structural,FN,34,2
GAT-Temporal,base+structural,FN,35,10
GAT-Temporal,base+structural,FN,36,22
GAT-Temporal,base+structural,FN,37,6
GAT-Temporal,base+structural,FN,38,7
GAT-Temporal,base+structural,FN,39,31
GAT-Temporal,base+structural,FN,40,17
GAT-Temporal,base+structural,FN,41,328
GAT-Temporal,base+structural,FN,42,19
GAT-Temporal,base+structural,FN,43,6
GAT-Temporal,base+structural,FN,44,17
GAT-Temporal,base+structural,FN,46,33
GAT-Temporal,base+structural,FN,48,269
GAT-Temporal,base+structural,FN,49,3
GAT-Temporal,base+structural,FP,1,51
GAT-Temporal,base+structural,FP,4,55
GAT-Temporal,base+structural,FP,5,5
GAT-Temporal,base+structural,FP,6,299
GAT-Temporal,base+structural,FP,8,15
GAT-Temporal,base+structural,FP,9,15
GAT-Temporal,base+structural,FP,10,24
GAT-Temporal,base+structural,FP,11,55
GAT-Temporal,base+structural,FP,13,10
GAT-Temporal,base+structural,FP,14,247
GAT-Temporal,base+structural,FP,15,1
GAT-Temporal,base+structural,FP,17,5
GAT-Temporal,base+structural,FP,24,4
GAT-Temporal,base+structural,FP,29,5
GAT-Temporal,base+structural,FP,34,7
GAT-Temporal,base+structural,FP,36,17
GAT-Temporal,base+structural,FP,37,5
GAT-Temporal,base+structural,FP,38,5
GAT-Temporal,base+structural,FP,39,5
GAT-Temporal,base+structural,FP,40,24
GAT-Temporal,base+structural,FP,41,688
GAT-Temporal,base+structural,FP,42,14
GAT-Temporal,base+structural,FP,43,12
GAT-Temporal,base+structural,FP,45,5
GAT-Temporal,base+structural,FP,46,25
GAT-Temporal,base+structural,FP,47,2
GAT-Temporal,base+structural,FP,48,445
GAT-Temporal,base+structural+typology,FN,1,58
GAT-Temporal,base+structural+typology,FN,3,11
GAT-Temporal,base+structural+typology,FN,4,96
GAT-Temporal,base+structural+typology,FN,5,10
GAT-Temporal,base+structural+typology,FN,6,118
GAT-Temporal,base+structural+typology,FN,8,13
GAT-Temporal,base+structural+typology,FN,10,3
GAT-Temporal,base+structural+typology,FN,11,22
GAT-Temporal,base+structural+typology,FN,12,1
GAT-Temporal,base+structural+typology,FN,13,3
GAT-Temporal,base+structural+typology,FN,14,79
GAT-Temporal,base+structural+typology,FN,19,5
GAT-Temporal,base+structural+typology,FN,20,10
GAT-Temporal,base+structural+typology,FN,21,3
GAT-Temporal,base+structural+typology,FN,22,5
GAT-Temporal,base+structural+typology,FN,24,7
GAT-Temporal,base+structural+typology,FN,27,3
GAT-Temporal,base+structural+typology,FN,28,3
GAT-Temporal,base+structural+typology,FN,29,17
GAT-Temporal,base+structural+typology,FN,31,10
GAT-Temporal,base+structural+typology,FN,32,12
GAT-Temporal,base+structural+typology,FN,33,1
GAT-Temporal,base+structural+typology,FN,34,1
GAT-Temporal,base+structural+typology,FN,35,13
GAT-Temporal,base+structural+typology,FN,36,23
GAT-Temporal,base+structural+typology,FN,37,8
GAT-Temporal,base+structural+typology,FN,38,7
GAT-Temporal,base+structural+typology,FN,39,28
GAT-Temporal,base+structural+typology,FN,40,15
GAT-Temporal,base+structural+typology,FN,41,283
GAT-Temporal,base+structural+typology,FN,42,22
GAT-Temporal,base+structural+typology,FN,43,7
GAT-Temporal,base+structural+typology,FN,44,14
GAT-Temporal,base+structural+typology,FN,46,36
GAT-Temporal,base+structural+typology,FN,47,1
GAT-Temporal,base+structural+typology,FN,48,241
GAT-Temporal,base+structural+typology,FN,49,1
GAT-Temporal,base+structural+typology,FP,1,64
GAT-Temporal,base+structural+typology,FP,2,1
GAT-Temporal,base+structural+typology,FP,4,68
GAT-Temporal,base+structural+typology,FP,5,5
GAT-Temporal,base+structural+typology,FP,6,309
GAT-Temporal,base+structural+typology,FP,8,19
GAT-Temporal,base+structural+typology,FP,9,15
GAT-Temporal,base+structural+typology,FP,10,26
GAT-Temporal,base+structural+typology,FP,11,64
GAT-Temporal,base+structural+typology,FP,13,7
GAT-Temporal,base+structural+typology,FP,14,276
GAT-Temporal,base+structural+typology,FP,15,4
GAT-Temporal,base+structural+typology,FP,17,6
GAT-Temporal,base+structural+typology,FP,24,5
GAT-Temporal,base+structural+typology,FP,29,5
GAT-Temporal,base+structural+typology,FP,32,2
GAT-Temporal,base+structural+typology,FP,33,1
GAT-Temporal,base+structural+typology,FP,34,8
GAT-Temporal,base+structural+typology,FP,36,20
GAT-Temporal,base+structural+typology,FP,37,5
GAT-Temporal,base+structural+typology,FP,38,5
GAT-Temporal,base+structural+typology,FP,39,5
GAT-Temporal,base+structural+typology,FP,40,25
GAT-Temporal,base+structural+typology,FP,41,764
GAT-Temporal,base+structural+typology,FP,42,16
GAT-Temporal,base+structural+typology,FP,43,12
GAT-Temporal,base+structural+typology,FP,45,5
GAT-Temporal,base+structural+typology,FP,46,28
GAT-Temporal,base+structural+typology,FP,47,6
GAT-Temporal,base+structural+typology,FP,48,516
GAT-Temporal,base+typology,FN,1,75
GAT-Temporal,base+typology,FN,3,10
GAT-Temporal,base+typology,FN,4,117
GAT-Temporal,base+typology,FN,5,8
GAT-Temporal,base+typology,FN,6,121
GAT-Temporal,base+typology,FN,8,9
GAT-Temporal,base+typology,FN,9,3
GAT-Temporal,base+typology,FN,10,3
GAT-Temporal,base+typology,FN,11,38
GAT-Temporal,base+typology,FN,13,2
GAT-Temporal,base+typology,FN,14,107
GAT-Temporal,base+typology,FN,15,1
GAT-Temporal,base+typology,FN,19,4
GAT-Temporal,base+typology,FN,20,9
GAT-Temporal,base+typology,FN,21,6
GAT-Temporal,base+typology,FN,22,5
GAT-Temporal,base+typology,FN,23,1
GAT-Temporal,base+typology,FN,24,10
GAT-Temporal,base+typology,FN,27,5
GAT-Temporal,base+typology,FN,28,4
GAT-Temporal,base+typology,FN,29,19
GAT-Temporal,base+typology,FN,31,7
GAT-Temporal,base+typology,FN,32,15
GAT-Temporal,base+typology,FN,33,1
GAT-Temporal,base+typology,FN,34,1
GAT-Temporal,base+typology,FN,35,10
GAT-Temporal,base+typology,FN,36,24
GAT-Temporal,base+typology,FN,37,6
GAT-Temporal,base+typology,FN,38,9
GAT-Temporal,base+typology,FN,39,34
GAT-Temporal,base+typology,FN,40,17
GAT-Temporal,base+typology,FN,41,345
GAT-Temporal,base+typology,FN,42,19
GAT-Temporal,base+typology,FN,43,9
GAT-Temporal,base+typology,FN,44,17
GAT-Temporal,base+typology,FN,45,1
GAT-Temporal,base+typology,FN,46,40
GAT-Temporal,base+typology,FN,47,2
GAT-Temporal,base+typology,FN,48,315
GAT-Temporal,base+typology,FN,49,2
GAT-Temporal,base+typology,FP,1,54
GAT-Temporal,base+typology,FP,4,59
GAT-Temporal,base+typology,FP,5,5
GAT-Temporal,base+typology,FP,6,300
GAT-Temporal,base+typology,FP,8,17
GAT-Temporal,base+typology,FP,9,15
GAT-Temporal,base+typology,FP,10,21
GAT-Temporal,base+typology,FP,11,56
GAT-Temporal,base+typology,FP,13,7
GAT-Temporal,base+typology,FP,14,250
GAT-Temporal,base+typology,FP,15,2
GAT-Temporal,base+typology,FP,17,6
GAT-Temporal,base+typology,FP,24,4
GAT-Temporal,base+typology,FP,29,5
GAT-Temporal,base+typology,FP,32,1
GAT-Temporal,base+typology,FP,34,3
GAT-Temporal,base+typology,FP,36,23
GAT-Temporal,base+typology,FP,37,5
GAT-Temporal,base+typology,FP,38,5
GAT-Temporal,base+typology,FP,39,5
GAT-Temporal,base+typology,FP,40,22
GAT-Temporal,base+typology,FP,41,702
GAT-Temporal,base+typology,FP,42,14
GAT-Temporal,base+typology,FP,43,13
GAT-Temporal,base+typology,FP,45,5
GAT-Temporal,base+typology,FP,46,26
GAT-Temporal,base+typology,FP,47,3
GAT-Temporal,base+typology,FP,48,444
GAT-Temporal,no_features,FN,1,156
GAT-Temporal,no_features,FN,3,10
GAT-Temporal,no_features,FN,4,195
GAT-Temporal,no_features,FN,5,13
GAT-Temporal,no_features,FN,6,205
GAT-Temporal,no_features,FN,8,27
GAT-Temporal,no_features,FN,9,4
GAT-Temporal,no_features,FN,10,11
GAT-Temporal,no_features,FN,11,64
GAT-Temporal,no_features,FN,13,3
GAT-Temporal,no_features,FN,14,151
GAT-Temporal,no_features,FN,15,2
GAT-Temporal,no_features,FN,17,2
GAT-Temporal,no_features,FN,19,4
GAT-Temporal,no_features,FN,20,20
GAT-Temporal,no_features,FN,21,12
GAT-Temporal,no_features,FN,22,8
GAT-Temporal,no_features,FN,23,4
GAT-Temporal,no_features,FN,24,16
GAT-Temporal,no_features,FN,25,5
GAT-Temporal,no_features,FN,26,2
GAT-Temporal,no_features,FN,27,4
GAT-Temporal,no_features,FN,28,6
GAT-Temporal,no_features,FN,29,22
GAT-Temporal,no_features,FN,30,2
GAT-Temporal,no_features,FN,31,10
GAT-Temporal,no_features,FN,32,14
GAT-Temporal,no_features,FN,33,5
GAT-Temporal,no_features,FN,34,3
GAT-Temporal,no_features,FN,35,19
GAT-Temporal,no_features,FN,36,51
GAT-Temporal,no_features,FN,37,16
GAT-Temporal,no_features,FN,38,20
GAT-Temporal,no_features,FN,39,38
GAT-Temporal,no_features,FN,40,31
GAT-Temporal,no_features,FN,41,617
GAT-Temporal,no_features,FN,42,46
GAT-Temporal,no_features,FN,43,14
GAT-Temporal,no_features,FN,44,19
GAT-Temporal,no_features,FN,45,1
GAT-Temporal,no_features,FN,46,53
GAT-Temporal,no_features,FN,47,10
GAT-Temporal,no_features,FN,48,496
GAT-Temporal,no_features,FN,49,4
GAT-Temporal,no_features,FP,1,57
GAT-Temporal,no_features,FP,2,1
GAT-Temporal,no_features,FP,4,65
GAT-Temporal,no_features,FP,5,2
GAT-Temporal,no_features,FP,6,309
GAT-Temporal,no_features,FP,8,19
GAT-Temporal,no_features,FP,9,15
GAT-Temporal,no_features,FP,10,21
GAT-Temporal,no_features,FP,11,60
GAT-Temporal,no_features,FP,13,9
GAT-Temporal,no_features,FP,14,268
GAT-Temporal,no_features,FP,15,2
GAT-Temporal,no_features,FP,17,5
GAT-Temporal,no_features,FP,24,2
GAT-Temporal,no_features,FP,29,5
GAT-Temporal,no_features,FP,32,3
GAT-Temporal,no_features,FP,33,2
GAT-Temporal,no_features,FP,34,8
GAT-Temporal,no_features,FP,36,21
GAT-Temporal,no_features,FP,37,5
GAT-Temporal,no_features,FP,38,5
GAT-Temporal,no_features,FP,39,5
GAT-Temporal,no_features,FP,40,20
GAT-Temporal,no_features,FP,41,732
GAT-Temporal,no_features,FP,42,18
GAT-Temporal,no_features,FP,43,10
GAT-Temporal,no_features,FP,45,5
GAT-Temporal,no_features,FP,46,30
GAT-Temporal,no_features,FP,47,6
GAT-Temporal,no_features,FP,48,508
GCN-Randomsplit,all,FN,1,53
GCN-Randomsplit,all,FN,2,1
GCN-Randomsplit,all,FN,3,2
GCN-Randomsplit,all,FN,4,80
GCN-Randomsplit,all,FN,5,5
GCN-Randomsplit,all,FN,6,78
GCN-Randomsplit,all,FN,8,10
GCN-Randomsplit,all,FN,9,7
GCN-Randomsplit,all,FN,10,8
GCN-Randomsplit,all,FN,11,25
GCN-Randomsplit,all,FN,13,2
GCN-Randomsplit,all,FN,14,44
GCN-Randomsplit,all,FN,15,1
GCN-Randomsplit,all,FN,16,1
GCN-Randomsplit,all,FN,17,2
GCN-Randomsplit,all,FN,19,3
GCN-Randomsplit,all,FN,20,2
GCN-Randomsplit,all,FN,21,3
GCN-Randomsplit,all,FN,22,1
GCN-Randomsplit,all,FN,25,3
GCN-Randomsplit,all,FN,26,1
GCN-Randomsplit,all,FN,29,2
GCN-Randomsplit,all,FN,31,4
GCN-Randomsplit,all,FN,32,2
GCN-Randomsplit,all,FN,33,2
GCN-Randomsplit,all,FN,34,1
GCN-Randomsplit,all,FN,35,6
GCN-Randomsplit,all,FN,36,16
GCN-Randomsplit,all,FN,37,2
GCN-Randomsplit,all,FN,38,13
GCN-Randomsplit,all,FN,39,8
GCN-Randomsplit,all,FN,40,14
GCN-Randomsplit,all,FN,41,256
GCN-Randomsplit,all,FN,42,13
GCN-Randomsplit,all,FN,43,5
GCN-Randomsplit,all,FN,44,2
GCN-Randomsplit,all,FN,45,3
GCN-Randomsplit,all,FN,46,18
GCN-Randomsplit,all,FN,47,1
GCN-Randomsplit,all,FN,48,134
GCN-Randomsplit,all,FP,1,136
GCN-Randomsplit,all,FP,2,3
GCN-Randomsplit,all,FP,3,7
GCN-Randomsplit,all,FP,4,185
GCN-Randomsplit,all,FP,5,11
GCN-Randomsplit,all,FP,6,179
GCN-Randomsplit,all,FP,7,4
GCN-Randomsplit,all,FP,8,27
GCN-Randomsplit,all,FP,9,12
GCN-Randomsplit,all,FP,10,26
GCN-Randomsplit,all,FP,11,60
GCN-Randomsplit,all,FP,12,2
GCN-Randomsplit,all,FP,13,8
GCN-Randomsplit,all,FP,14,100
GCN-Randomsplit,all,FP,15,2
GCN-Randomsplit,all,FP,16,1
GCN-Randomsplit,all,FP,17,3
GCN-Randomsplit,all,FP,18,2
GCN-Randomsplit,all,FP,19,2
GCN-Randomsplit,all,FP,20,17
GCN-Randomsplit,all,FP,21,5
GCN-Randomsplit,all,FP,22,4
GCN-Randomsplit,all,FP,23,3
GCN-Randomsplit,all,FP,24,7
GCN-Randomsplit,all,FP,25,4
GCN-Randomsplit,all,FP,26,8
GCN-Randomsplit,all,FP,27,4
GCN-Randomsplit,all,FP,29,16
GCN-Randomsplit,all,FP,30,1
GCN-Randomsplit,all,FP,31,4
GCN-Randomsplit,all,FP,32,2
GCN-Randomsplit,all,FP,33,7
GCN-Randomsplit,all,FP,34,9
GCN-Randomsplit,all,FP,35,11
GCN-Randomsplit,all,FP,36,44
GCN-Randomsplit,all,FP,37,11
GCN-Randomsplit,all,FP,38,24
GCN-Randomsplit,all,FP,39,21
GCN-Randomsplit,all,FP,40,36
GCN-Randomsplit,all,FP,41,793
GCN-Randomsplit,all,FP,42,32
GCN-Randomsplit,all,FP,43,21
GCN-Randomsplit,all,FP,44,7
GCN-Randomsplit,all,FP,45,9
GCN-Randomsplit,all,FP,46,47
GCN-Randomsplit,all,FP,47,16
GCN-Randomsplit,all,FP,48,363
GCN-Randomsplit,all,FP,49,1
GCN-Randomsplit,base+basic_temporal,FN,1,53
GCN-Randomsplit,base+basic_temporal,FN,4,77
GCN-Randomsplit,base+basic_temporal,FN,5,3
GCN-Randomsplit,base+basic_temporal,FN,6,70
GCN-Randomsplit,base+basic_temporal,FN,8,8
GCN-Randomsplit,base+basic_temporal,FN,9,7
GCN-Randomsplit,base+basic_temporal,FN,10,8
GCN-Randomsplit,base+basic_temporal,FN,11,25
GCN-Randomsplit,base+basic_temporal,FN,13,2
GCN-Randomsplit,base+basic_temporal,FN,14,35
GCN-Randomsplit,base+basic_temporal,FN,16,1
GCN-Randomsplit,base+basic_temporal,FN,17,1
GCN-Randomsplit,base+basic_temporal,FN,18,1
GCN-Randomsplit,base+basic_temporal,FN,19,2
GCN-Randomsplit,base+basic_temporal,FN,20,4
GCN-Randomsplit,base+basic_temporal,FN,21,4
GCN-Randomsplit,base+basic_temporal,FN,22,1
GCN-Randomsplit,base+basic_temporal,FN,25,4
GCN-Randomsplit,base+basic_temporal,FN,29,4
GCN-Randomsplit,base+basic_temporal,FN,31,4
GCN-Randomsplit,base+basic_temporal,FN,32,2
GCN-Randomsplit,base+basic_temporal,FN,33,2
GCN-Randomsplit,base+basic_temporal,FN,34,2
GCN-Randomsplit,base+basic_temporal,FN,35,5
GCN-Randomsplit,base+basic_temporal,FN,36,16
GCN-Randomsplit,base+basic_temporal,FN,37,2
GCN-Randomsplit,base+basic_temporal,FN,38,7
GCN-Randomsplit,base+basic_temporal,FN,39,7
GCN-Randomsplit,base+basic_temporal,FN,40,9
GCN-Randomsplit,base+basic_temporal,FN,41,240
GCN-Randomsplit,base+basic_temporal,FN,42,13
